Sentence,Word,Australian_English,British_English
Ted found a spider that was dead under the bed.,Ted,e,ɛ
Ted found a spider that was dead under the bed.,dead,e,ɛ
Ted found a spider that was dead under the bed.,bed,e,ɛ
The bear doesn’t care for your yellow hair.,bear,eː,ɛː
The bear doesn’t care for your yellow hair.,care,eː,ɛː
The bear doesn’t care for your yellow hair.,hair,eː,ɛː
Jack saw a bat and put it in his bag.,Jack,æ,a
Jack saw a bat and put it in his bag.,bat,æ,a
Jack saw a bat and put it in his bag.,bag,æ,a
He guards the nearby park after dark.,guards,ɐː,ɑː
He guards the nearby park after dark.,park,ɐː,ɑ
He guards the nearby park after dark.,dark,ɐː,ɑː
"Bob walks the dog, in the fog.",Bob,ɔ,ɒ
"Bob walks the dog, in the fog.",dog,ɔ,ɒ
"Bob walks the dog, in the fog.",fog,ɔ,ɒ
He bought cookie dough and a jar of sauce.,bought,oː,ɒː
He bought cookie dough and a jar of sauce.,sauce,oː,ɒː
"He bought a jar of sauce, as he was bored.",bought,oː,ɒː
"He bought a jar of sauce, as he was bored.",sauce,oː,ɒː
"He bought a jar of sauce, as he was bored.",bored,oː,ɒː
The space slowly fades with each day.,space,æɪ,ej
The space slowly fades with each day.,fades,æɪ,ej
The space slowly fades with each day.,day,æɪ,ej
The spies secretly hide a lot of dice.,spies,ɑe,aj
The spies secretly hide a lot of dice.,hide,ɑe,aj
The spies secretly hide a lot of dice.,dice,ɑe,aj
Boyd’s deep voice got lost in the void.,Boyd,oɪ,ɔj
Boyd’s deep voice got lost in the void.,voice,oɪ,ɔj
Boyd’s deep voice got lost in the void.,void,oɪ,ɔj
How’d you know that he bowed to the cows?,How'd,æɔ,aw
How’d you know that he bowed to the cows?,bowed,æɔ,aw
How’d you know that he bowed to the cows?,cows,æɔ,aw
"The bows and arrows were found on the boat, next to the coat.",bows,əʉ,əw
"The bows and arrows were found on the boat, next to the coat.",boat,əʉ,əw
"The bows and arrows were found on the boat, next to the coat.",coat,əʉ,əw
"The bows and arrows were found on the boat, next to a coat.",bows,əʉ,əw
"The bows and arrows were found on the boat, next to a coat.",boat,əʉ,əw
"The bows and arrows were found on the boat, next to a coat.",coat,əʉ,əw
He feared that the man with the beard won’t come here.,feared,ɪə,ɪə
He feared that the man with the beard won’t come here.,beard,ɪə,ɪə
He feared that the man with the beard won’t come here.,here,ɪə,ɪə
